Tank1_percentage,Tank2_percentage,CFPP_Tank_1,CFPP_Tank_2,Final_CFPP
90,10,-20,-13,-19
80,20,-20,-13,-18
70,30,-20,-13,-17
60,40,-20,-13,-15
50,50,-20,-13,-15
40,60,-20,-13,-14
30,70,-20,-13,-14
20,80,-20,-13,-14
10,90,-20,-13,-13
90,10,-20,-17,-20
80,20,-20,-17,-19
70,30,-20,-17,-19
60,40,-20,-17,-19
50,50,-20,-17,-19
40,60,-20,-17,-19
30,70,-20,-17,-19
20,80,-20,-17,-18
10,90,-20,-17,-18
90,10,-20,-9,-19
80,20,-20,-9,-18
70,30,-20,-9,-16
60,40,-20,-9,-16
50,50,-20,-9,-13
40,60,-20,-9,-12
30,70,-20,-9,-11
20,80,-20,-9,-10
10,90,-20,-9,-9
90,10,-20,-11,-19
80,20,-20,-11,-17
70,30,-20,-11,-16
60,40,-20,-11,-15
50,50,-20,-11,-14
40,60,-20,-11,-13
30,70,-20,-11,-13
20,80,-20,-11,-11
10,90,-20,-11,-11
90,10,-20,-8,-19
80,20,-20,-8,-18
70,30,-20,-8,-16
60,40,-20,-8,-15
50,50,-20,-8,-15
40,60,-20,-8,-15
30,70,-20,-8,-12
20,80,-20,-8,-12
10,90,-20,-8,-10
90,10,-20,-20,-20
80,20,-20,-20,-21
70,30,-20,-20,-21
60,40,-20,-20,-22
50,50,-20,-20,-21
40,60,-20,-20,-22
30,70,-20,-20,-22
20,80,-20,-20,-22
10,90,-20,-20,-20
90,10,-20,-34,-21
80,20,-20,-34,-22
70,30,-20,-34,-23
60,40,-20,-34,-26
50,50,-20,-34,-27
40,60,-20,-34,-28
30,70,-20,-34,-29
20,80,-20,-34,-32
10,90,-20,-34,-33
90,10,-20,-41,-20
80,20,-20,-41,-23
70,30,-20,-41,-25
60,40,-20,-41,-27
50,50,-20,-41,-28
40,60,-20,-41,-30
30,70,-20,-41,-30
20,80,-20,-41,-34
10,90,-20,-41,-36
90,10,-20,-19,-27
80,20,-20,-19,-27
70,30,-20,-19,-27
60,40,-20,-19,-27
50,50,-20,-19,-27
40,60,-20,-19,-24
30,70,-20,-19,-24
20,80,-20,-19,-27
10,90,-20,-19,-27
90,10,-20,-53,-21
80,20,-20,-53,-25
70,30,-20,-53,-27
60,40,-20,-53,-28
50,50,-20,-53,-31
40,60,-20,-53,-34
30,70,-20,-53,-38
20,80,-20,-53,-44
10,90,-20,-53,-51
